title,year,authors,journal,doi,wos_accession,abstract,source
The benefits and disbenefits associated with cultural ecosystem services of urban green spaces,2024,"Nowak-Olejnik, A; Dzialek, J; Hibner, J; Liro, J; Madej, R; Sudmanns, M; Haase, D",SCIENCE OF THE TOTAL ENVIRONMENT,10.1016/j.scitotenv.2024.172092,WOS:001217399400002,"Cultural ecosystem services (CES) and disservices shape landscape planning policy to a huge extent. We focus on the benefits and disbenefits associated with CES. The study aimed to explore the co-occurrence of the benefits and disbenefits associated with CES as well as the relationship between spatial and landscape characteristics and specific benefits and disbenefits. We conducted a map-based online questionnaire among visitors of two urban green spaces in Krak<acute accent>ow, Poland (Wolski Forest and Jordan Park). Respondents were asked to map places visited and assign them benefits and di",random_sample_395
Modeling the distribution of cultural ecosystem services based on future climate variables under different scenarios,2024,"You, C; Qu, HJ; Yin, L; Guo, L",SCIENTIFIC REPORTS,10.1038/s41598-024-78798-1,WOS:001457881200090,"With the far-reaching consequences of worldwide climate variationon ecosystems and human societies, understanding and predicting changes in cultural ecosystem services (CES) is essential for sustainable development policy and resource planning. Past studies have focused on changes and impacts on natural ecosystems, while relatively few studies have been conducted on predictions of CES. This study combines POI datasets with future climate variables under different scenarios into the Maxent model for forecasting the spatial and temporal distribution of CES, which provides strong support for futu",random_sample_395
Feasibility assessment of a clean and efficient fire extinguishing system for pottery jar liquor warehouses,2024,"Li, XM; Wan, W; Zhao, YK; Bai, G; Shi, XX; Chen, B; Zhang, YT",SCIENTIFIC REPORTS,10.1038/s41598-024-64168-4,WOS:001245305300085,"Clean fire extinguishing systems applicable to the pottery jar liquor warehouse are in demand. In this study, taking 53vol% liquor as the research subject, fire models of various clean fire extinguishing systems comprising water mist, liquid carbon dioxide (LCO2) and liquid nitrogen (LN2) were established using a fire dynamic simulator to determine their fire extinguishing effect. A feasibility assessment of systems was performed under different fire source types, fire source sizes, and ventilation conditions. The fire extinguishing efficiency was analyzed in terms of the fire extinguishing ti",random_sample_395
"Guaranteed Incentives and Prize Drawings: Effects on Participation, Data Quality, and Costs in a Web Survey of College Students on Sensitive Topics",2024,"Dykema, J; Stevenson, J; Jones, CP; Day, B",SOCIAL SCIENCE COMPUTER REVIEW,10.1177/08944393231189853,WOS:001032090200001,"Many studies rely on traditional web survey methods in which all contacts with sample members are through email and the questionnaire is administered exclusively online. Because it is difficult to effectively administer prepaid incentives via email, researchers frequently employ lotteries or prize draws as incentives even though their influence on survey participation is small. The current study examines whether a prize draw is more effective if it is divided into a few larger amounts versus several smaller amounts and compares prize draws to a small but guaranteed postpaid incentive. Data are",random_sample_395
The Impact of Survey Mode Design and Questionnaire Length on Measurement Quality,2024,"Cernat, A; Sakshaug, J; Christmann, P; Gummer, T",SOCIOLOGICAL METHODS & RESEARCH,10.1177/00491241221140139,WOS:000893952200001,"Mixed-mode surveys are popular as they can save costs and maintain (or improve) response rates relative to single-mode surveys. Nevertheless, it is not yet clear how design decisions like survey mode or questionnaire length impact measurement quality. In this study, we compare measurement quality in an experiment of three distinct survey designs implemented in the German sample of the European Values Study: a single-mode face-to-face design, a mixed-mode mail/web design, and a shorter (matrix) questionnaire in the mixed-mode design. We compare measurement quality in different ways, including d",random_sample_395
Evaluating the Effect of Monetary Incentives on Web Survey Response Rates in the UK Millennium Cohort Study,2024,"Booth, C; Wong, ERC; Brown, M; Fitzsimons, E",SURVEY RESEARCH METHODS,10.18148/srm/2024.v18i1.8210,WOS:001208254100004,"A major objective for longitudinal studies is retaining participants over time. The Millennium Cohort Study (MCS) is the largest on-going nationally representative birth cohort study of young people in the UK. Seven waves of data collection took place face -to -face between 2001 and 2019, with no monetary incentives offered. Throughout 2020 to 2021, participants were invited to take part in three web surveys focused on understanding the effects of the COVID-19 pandemic. In the third web survey, conditional monetary incentives were introduced in the form of a randomised experiment (N = 13,351).",random_sample_395
Using the Theory of Planned Behavior for Explaining Mobile Phone Recycling: The Role of Subjective Norms,2024,"Botetzagias, I; Grigoraki, E; Kokkoris, GD",SUSTAINABILITY,10.3390/su16208773,WOS:001341603600001,"This study examines the extent to which standard Theory of Planned Behavior (TPB) predictors (Attitude; Subjective Norms; and Perceived Behavioral Control) explain the intention to recycle an end-of-use mobile phone. Our data originate from empirical research on Greek citizens conducted in the summer of 2022 (N = 258). Through ordinal regression modeling, we found that all the TPB predictors positively influence one's intention to recycle. In contrast to most previous studies, we found that Subjective Norms is the most influential predictor. However, its influence is dependent on the type of n",random_sample_395
Investigating the Enduring Determinants of Workers' Decision to Stay or Emigrate: An Extended Application of the Theory of Planned Behavior,2024,"Saflor, CS; Marinas, KA; Enano, W",SUSTAINABILITY,10.3390/su16219220,WOS:001352055500001,"Employee retention is intricate in a competitive market, and yet it is critical for long-term competitive advantage, organizational performance, and longevity. Low employee retention causes several challenges, including increased training and recruitment costs, insufficiently skilled staff, and disruption to organizational operations. This study utilizes the Theory of Planned Behavior (TPB) and Structural Equation Modeling (SEM) to examine the factors influencing employees' intention to remain with companies in the Philippines or leave the country. Data were collected through a questionnaire c",random_sample_395
Determining the Scale to Ensure Locality and a Sense of Belonging in the Housing Redevelopment Process: Bursa Hurriyet Neighborhood Field Study,2024,"Ersoy, S; Tas, N; Tas, M",SUSTAINABILITY,10.3390/su16010010,WOS:001140521200001,"Regarding housing redevelopment in Turkiye, the unplanned scale increase is one of the most critical problems facing the cities that have grown due to immigration. One of the most critical problems in housing redevelopment is the inability to ensure locality and retain the current inhabitants. Due to the fact that the issues of locality and ensuring a sense of belonging are ignored in most cases, the housing units usually lack local architectural identity, resemble each other, and do not meet socio-cultural needs. The purpose of this study is to identify locally specific, value-driven results ",random_sample_395
Do Biospheric Values Moderate the Impact of Information Appeals on Pro-Environmental Behavioral Intentions?,2024,"Anicker, N; Bamberg, S; Pütz, P; Bohner, G",SUSTAINABILITY,10.3390/su16072915,WOS:001200853500001,"Information-based interventions are still the most commonly used intervention approach to motivate people to engage in pro-environmental behaviors. However, recently, researchers assume that the effectiveness of such information depends on the extent to which recipients endorse biospheric values (the so-called 'values-as-moderator' hypothesis). If this hypothesis is correct, it would have important implications for the use of information appeals: they could not motivate the entire population, but only those population groups with high biospheric values. Two experimental studies using case vign",random_sample_395
The Attitudes of Xizang Residents Toward Tourism Development Based on Structural Equation Modeling,2024,"Teng, JZ; Li, JH; Yuan, L; Zhao, JM; Wang, XY",SUSTAINABILITY,10.3390/su162410953,WOS:001386884300001,"With the rapid development of tourism, it has not only injected new vitality into Tibet's economy but also had a profound impact on the lifestyle, cultural heritage, and social environment of its residents. While the prosperity of tourism brings economic opportunities, it also poses challenges to Tibet's unique culture and ecological environment. In this research, we focus on Lhasa and Nyingchi as the study areas, analyzing the impact of tourism development on the economy, social culture, and environment from the perspective of the local residents' perception and the residents' willingness to ",random_sample_395
A new scale to assist in evaluating architectural proposals on the natural dimension based on psychometrics,2024,"Zhao, DM; Chen, L; Liu, YJ; Liu, C; Gao, WJ; Miao, S",SUSTAINABLE CITIES AND SOCIETY,10.1016/j.scs.2023.105037,WOS:001111646700001,"Scientific and accurate evaluation of architecture is efficient for design optimization and resource conservation of sustainable cities. Complicated and multidisciplinary contents and architecture proposals are difficult to judge with validity and objectivity by current evaluation methods. A scale is a concentrated application of psychometrics that can collect expert knowledge objectively, scientifically, and comprehensively. This paper proposes the development of an architecture design evaluation scale on the natural dimension with the application of a web-based interface system. The evaluati",random_sample_395
Intention-to-use low-carbon travel modes - An investigation integrating Maslow's hierarchy of (driving) needs and the theory of planned behavior,2024,"Fu, XM",SUSTAINABLE CITIES AND SOCIETY,10.1016/j.scs.2024.105187,WOS:001166490700001,"The increasingly serious traffic congestion and damages on environment due to excess driving have brought considerable negative influences on the sustainable development of cities and urban residents' well-being. The promotion of low-carbon travel modes is now necessarily required due to the environmentally-friendly and highcapacity features. This study attempts to investigate the mechanism underlying intention-to-use low-carbon travel modes based on an integration of Maslow's hierarchy of (driving) needs and the theory of planned behavior. A four-step analysis method, i.e., Exploratory factor",random_sample_395
Nature in urban green spaces: Main attractor or nice background? Drivers and dynamics of cultural ecosystem services provision,2024,"Kulczyk, S; Grzyb, T; Wozniak, E; Derek, M",URBAN FORESTRY & URBAN GREENING,10.1016/j.ufug.2024.128328,WOS:001236565200001,"Urban parks and forests are important providers of cultural ecosystem services (CES) for the majority of the global population. Data from diverse sources are needed to reflect both ecological and social aspects of CES delivery in these areas. Understanding and disentangling this complex relationship is crucial to managing urban green spaces (UGS) in a way that maximizes users ' cultural benefits, and does not threaten the ecosystem and its functions. This paper provides a multidimensional analysis of CES delivery in parks and forests located along the urban -peri-urban axis in Warsaw, Poland. ",random_sample_395
Artificial Intelligence and content analysis: the large language models (LLMs) and the automatized categorization,2025,"Carius, AC; Teixeira, AJ",AI & SOCIETY,10.1007/s00146-024-01988-y,WOS:001246799900001,"The growing advancement of Artificial Intelligence models based on deep learning and the consequent popularization of large language models (LLMs), such as ChatGPT, place the academic community facing unprecedented dilemmas, in addition to corroborating questions involving research activities and human beings. In this work, Content Analysis was chosen as the object of study, an important technique for analyzing qualitative data and frequently used among Brazilian researchers. The objective of this work was to compare the process of categorization by themes carried out by human researchers on m",random_sample_395
"Digital ""We"": Human Sociality and Culture in the Era of Social Media and Artificial Intelligence",2025,"Riva, G",AMERICAN PSYCHOLOGIST,10.1037/amp0001577,WOS:001645338400001,"Human social cognition has evolved in the ""we mode,"" a uniquely human capacity to form shared intentions and collaborate as unified agents. This collective intentionality, rooted in embodied mechanisms such as synchronized behavior, joint attention, interbrain coupling, and emotional attunement, has enabled the open-ended creativity and adaptability that define human culture. However, the rise of social media and artificial intelligence is reshaping these foundational dynamics. This article identifies a dual threat posed by the emergence of a ""digital we."" First, algorithmically mediated digit",random_sample_395
Evaluation of Cultural Ecosystem Services in the Urban Parks of Macau from a Cultural Heritage Perspective,2025,"Liu, KH; Wang, PH; Liu, J",APPLIED SCIENCES-BASEL,10.3390/app15073946,WOS:001464837000001,"Cultural ecosystem services (CES) provided by 12 major urban parks on the Macau Peninsula were quantitatively evaluated using social media data. Furthermore, the potential implications of these findings for cultural heritage preservation and landscape design optimization were investigated. A CES evaluation framework consisting of six dimensions was established. User-generated content (UGC) was then collected using web-crawling techniques. A sentiment analysis based on natural language processing (NLP) and a spatial clustering analysis were subsequently performed on the collected data. Signific",random_sample_395
Evaluating the Performance Impact of Data Sovereignty Features on Data Spaces,2025,"Galij, S; Pawlak, G; Grzyb, S",APPLIED SCIENCES-BASEL,10.3390/app15179841,WOS:001569540500001,"Data Spaces appear to offer a solution to data sovereignty concerns in public cloud environments, which are managed by third parties and must therefore be considered potentially untrusted. The IDS Connector, a key component of Data Space architecture, acts as a secure gateway, enforcing data sovereignty by controlling data usage and ensuring that data processing occurs within a trusted and verifiable environment. This study compares the performance of cloud-native data sharing services offered by major cloud providers-Amazon, Microsoft, and Google-with Data Spaces services delivered via two co",random_sample_395
Mobile Reading Attention of College Students in Different Reading Environments: An Eye-Tracking Study,2025,"Xu, SW; Xu, MY; Kang, QY; Yuan, XQ",BEHAVIORAL SCIENCES,10.3390/bs15070953,WOS:001556765800001,"With the widespread adoption of mobile reading across diverse scenarios, understanding environmental impacts on attention has become crucial for reading performance optimization. Building upon this premise, the study examined the impacts of different reading environments on attention during mobile reading, utilizing a mixed-methods approach that combined eye-tracking experiments with semi-structured interviews. Thirty-two college students participated in the study. Quantitative attention metrics, including total fixation duration and fixation count, were collected through eye-tracking, while q",random_sample_395
Farmers' climate change perceptions in central Colombia: A propensity score matching approach using protection motivation theory and psychological distance,2025,"Cano, A; Castro-Campos, B",CLIMATE RISK MANAGEMENT,10.1016/j.crm.2025.100720,WOS:001512537000001,"This study investigates how farmers' experiences with extreme weather events, specifically landslides and droughts, shape their perceptions of climate change in central Colombia, and their implications for climate risk management. Using Protection Motivation Theory and psychological distance as frameworks, we surveyed 360 farmers in 2022-2023 to assess their perceptions of climate change severity, vulnerability, and proximity. To control for confounding factors, we employed propensity score matching, comparing farmers in villages affected by landslides and droughts with those in unaffected vil",random_sample_395
Geographically weighted regression model-calibration for finite population parameter estimation under two stage sampling design,2025,"Saha, B; Biswas, A; Ahmad, T; Sahoo, PM; Aditya, K; Paul, NC",COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION,10.1080/03610918.2024.2369800,WOS:001265580200001,"In many agricultural, forestry, environmental, and ecological surveys, data are often spatial in nature and exhibit spatial nonstationarity. A well-known method for addressing spatial nonstationarity and capturing the spatially varying relationships between different variables is Geographic Weighted Regression (GWR). The calibration approach is one of the most widely used techniques in sample surveys for incorporating the known population characteristics of auxiliary variables by changing the original sampling design weights. The model-calibration approach is an improvement on the conventional",random_sample_395
Fractional imputation algorithm in functional-coefficient structural equation model,2025,"Cheng, H",COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION,10.1080/03610918.2025.2568605,WOS:001598472000001,"In the article, a dynamic structural equation model (SEM) is defined as one kind of SEM with functional loading and path coefficients, which can be simultaneously captured at different quantiles. Some observed variables are missing due to different reasons in various applications. The article proposes fractional imputation (FI) estimators for loading and path parameters estimations in functional-coefficient SEM when some observed variables are missing at random. The FI estimation procedure fully utilizes the entire observed dataset. The FI estimator is investigated through simulation studies a",random_sample_395
"A manifesto for a globally diverse, equitable, and inclusive open science",2025,"Ghai, S; Theriault, R; Forscher, P; Shoda, Y; Syed, M; Puthillam, A; Peng, HC; Basnight-Brown, D; Majid, A; Azevedo, F; Singh, L",COMMUNICATIONS PSYCHOLOGY,10.1038/s44271-024-00179-1,WOS:001578536300002,"The field of psychology has rapidly transformed its open science practices in recent years. Yet there has been limited progress in integrating principles of diversity, equity and inclusion. In this Perspective, we raise the spectre of Questionable Generalisability Practices and the issue of MASKing (Making Assumptions based on Skewed Knowledge), calling for more responsible practices in generalising study findings and co-authorship to promote global equity in knowledge production. To drive change, researchers must target all four key components of the research process: design, reporting, gener",random_sample_395
Enhancing textile heritage engagement through generative AI-based virtual assistants in virtual reality museums,2025,"Ariya, P; Khanchai, S; Intawong, K; Puritat, K",COMPUTERS & EDUCATION: X REALITY,10.1016/j.cexr.2025.100112,WOS:001636401100011,"This study investigates how generative AI-based virtual assistants embedded within immersive virtual reality (VR) environments can enhance user engagement and cultural learning in virtual museums. Situated at the Wieng Yong House Museum in Thailand, the research addresses the challenge of preserving and promoting textile heritage in the digital age. The study aims to design, implement, and evaluate an AI-driven virtual docent capable of delivering personalized, multilingual, and real-time cultural information through interactive voicebased engagement. Using a purposive sampling technique, 25 u",random_sample_395
Large language models and digital multimodal composition in the first-year composition classrooms: An encroachment and/or enhancement dilemma,2025,"Pandey, HL; Bhusal, PC; Niraula, S",COMPUTERS AND COMPOSITION,10.1016/j.compcom.2024.102892,WOS:001533708500015,"This study examines the perspectives of twenty-five First-Year Composition (FYC) instructors on the impact of Large Language Models (LLMs) and Digital Multimodal Composition (DMC) in FYC classrooms. The primary objectives are to assess instructors' views on the effects of LLMs like ChatGPT on FYC pedagogy and to explore how DMC can be brought into conversation within these impacts. Employing qualitative surveys with open-ended questions, the study collected, coded, and thematized the data, generating three major key themes: creativity, plagiarism, and DMC engagement. The FYC instructors' persp",random_sample_395
Does protection motivation predict self-protective online behaviour? Comparing self-reported and actual online behaviour using a population-based survey experiment,2025,"van 't Hoff-de Goede, MS; Leukfeldt, ER; van de Weijer, SGA; van der Kleij, R",COMPUTERS IN HUMAN BEHAVIOR REPORTS,10.1016/j.chbr.2025.100649,WOS:001460309300001,"Protection Motivation Theory (PMT) proposes that protection motivation is positively related to self-protective online behaviour. This notion has been supported by empirical studies, but these have so far almost exclusively used self-reported data on behaviour. However, how people say they behave online does not always correspond with how they actually behave online. The current study explores the relationship between PMT factors and actual online behaviour compared to self-reported online behaviour, using unique data from a population-based survey experiment (N = 2419). Results indicate that ",random_sample_395
The generations of cultural ecosystem services research,2025,"Gould, RK; Satterfield, T; Leong, K; Fisk, J",CONSERVATION BIOLOGY,10.1111/cobi.70065,WOS:001508302500001,"Understanding the cultural dimensions of human-nature relationships and integrating them into decision-making is a central goal of conservation social science. One prominent avenue for this work is the characterization and analysis of cultural ecosystem services (CES) (i.e., nonmaterial aspects of the benefits derived from human-nature relationships). The Millennium Ecosystem Assessment introduced the term CES in 2005, and the ensuing decades have seen a blossoming of work on this topic-including extensive critique and the development of multiple closely related concepts. Because the need to r",random_sample_395
"Rethinking success in policing: a moderation model of specialism's interaction with self-reported competence, specialism endorsement, wellbeing and organisational support",2025,"Barbin, A; Manning, M; Davies, K; Horvath, MAH",CURRENT PSYCHOLOGY,10.1007/s12144-025-08318-5,WOS:001563171800001,"This study explored specialism within policing in England and Wales, aiming to identify how personal, social, and contextual factors influence the implementation and perception of specialist roles and units. Through an online survey designed to capture current, former, and retired officers' views on their competence, job satisfaction, and organisational support, the study sought to quantitatively assess whether 209 officers perceived specialism as beneficial for policing. Qualitative insights on survey responses were also captured. Previous research showed that, while specialism is widely adop",random_sample_395
Adapting the Highly Sensitive Child Scale-21 item: a psychometric evaluation in a mainland China sample,2025,"Ling, Y; Zhou, WJ; Pluess, M; Weyn, S; Huebner, ES; Zhong, MT",CURRENT PSYCHOLOGY,10.1007/s12144-024-07271-z,WOS:001437435200001,"Sensory processing sensitivity (SPS) pertains to individual differences in responsiveness to environmental stimuli. The Highly Sensitive Child Scale-21 item (HSC-21) is a reliable and validated self-report measure to assess sensory processing sensitivity for children and adolescents. This study aimed to evaluate the psychometric properties of the Chinese version of the HSC-21 in a mainland China. The sample comprised 1372 middle school students (48% males,52% females) from mainland China, with a mean age of 13.39 years (SD = 3.38). Exploratory factor analysis revealed a five-factor solution am",random_sample_395
An application of the theory of planned behavior to women's feminist and protective action in Türkiye,2025,"Sahin, MN; Rumeli, Y; Sakalli, N",CURRENT PSYCHOLOGY,10.1007/s12144-025-08179-y,WOS:001531098200001,"Despite progress, gender-based inequalities persist worldwide. Collective action is essential in challenging these inequalities, yet not all women engage. This study applies the theory of planned behavior to examine factors predicting women's intention and actual engagement in two forms of collective action: feminist action, which seeks to change the unequal gender hierarchy (e.g., participating in protests), and protective action, which shields women from its consequences (e.g., assisting women in attending self-defense classes). A total of 669 women from T & uuml;rkiye (M = 22.94, SD = 5.70)",random_sample_395
"Mangroves and economic development in Tobago: Incorporating payment horizons, choice certainty and ex-post interviews in discrete choice experiments",2025,"Howai, N; Balcombe, K; Robinson, EJZ",ECOLOGICAL ECONOMICS,10.1016/j.ecolecon.2025.108693,WOS:001503550400001,"Governments have long faced potential trade-offs between economic development and protecting nature. This is particularly true for tropical and sub-tropical islands where most mangroves are found. Motivated by Trinidad and Tobago's central government's prior hotel development plans, we employ a discrete choice experiment (DCE) to investigate residents' preferences for mangrove ecosystem services (ES) in the Bon Accord Lagoon and Buccoo Bay, Tobago. Preferences were investigated in the context of a trade-off between conserving mangroves and promoting economic development through a hypothetical ",random_sample_395
Engaging high-income earners in climate action: Policy insights from survey experiments,2025,"Mundaca, L; Wamsler, C",ECOLOGICAL ECONOMICS,10.1016/j.ecolecon.2024.108387,WOS:001329503700001,"The lifestyle and consumption patterns of the wealthy exceed our planet's ecological limits. Surprisingly, little experimental research explores the effectiveness of choice architecture interventions targeting the lifestyles and consumption behaviours of the affluent. Addressing this gap, our study investigates the extent to which the top income decile in Sweden can be motivated to take climate action. Three randomised survey experiments (N = 1600) were conducted, involving: 1) an injunctive social norm; 2) anticipated guilt and pride priming; and 3) the framing effects of communicating a Pigo",random_sample_395
Cultural ecosystem services and opportunities for inclusive and effective nature-based solutions,2025,"Panaro, S; Delabre, I; Marshall, F",ECOLOGICAL ECONOMICS,10.1016/j.ecolecon.2025.108525,WOS:001422854300001,"The concept of Cultural Ecosystem Services (CES) is increasingly applied to sustainable land use change research, policy and planning. Despite an evolving understanding of CES in the research community, policy and planning have not kept up with deeper and more progressive framings of CES. This disjuncture risks the underappreciation of diverse, intrinsic, plural and relational perspectives of CES in emerging policies, such as those related to Nature-based Solutions (NbS) driven by net-zero targets, which in turn hinders the capacity of NbS to deliver their multiple intended benefits. In this a",random_sample_395
Optimizing marine debris monitoring: balancing statistical power and test size in survey design,2025,"Starcevich, LA; Burgess, HK; Uhrin, AV",ECOLOGICAL INDICATORS,10.1016/j.ecolind.2025.113807,WOS:001524924600001,"Conducting a power analysis is a best practice for designing long-term environmental monitoring programs so that trade-offs in survey design elements such as sample size and temporal revisits can be evaluated. However, these analyses are sensitive to a priori decisions about the underlying distribution of the data, appropriate model structure, and choice of trend test. Improper trend model specification and inappropriate trend tests can affect power estimates, leading to misguided choices of survey design elements, trend tests with inflated test size (i.e., increased probability of detecting a",random_sample_395
Evaluating effects of data quality and variable weighting on habitat suitability modelling,2025,"Arsenault, S; Linner, R; Chen, Y",ECOLOGICAL INFORMATICS,10.1016/j.ecoinf.2025.103086,WOS:001432103800001,"Habitat modelling is important in the conservation and management of fishes and can be sensitive to data inputs and model configuration. Survey data used in Habitat Suitability Index (HSI) models may undergo changing sampling protocols over time, and these inconsistencies may impact results. Additionally, the various habitat variables included in HSI models are typically given equal weights, even though some variables may have greater influence over distribution than others. The Long River Survey, part of the Hudson River Biological Monitoring Program, in the Hudson River Estuary (HRE), has un",random_sample_395
Data quality issues in data used in species distribution models: A systematic literature review,2025,"Barbosa, WL; Alves-Souza, SN",ECOLOGICAL INFORMATICS,10.1016/j.ecoinf.2025.103378,WOS:001582011700001,"Species distribution models (SDM) are important tools for decision-making in several application areas, being essential for managing biodiversity resources in the world. The ability of these models to represent the reality is strongly dependent on the fitness of the data from which they are generated. Although scientific literature recognizes the occurrence of several data quality (DQ) problems, little work has focused on conducting a comprehensive survey to identify and quantify these challenges. Thus, this paper conducts a systematic review of the literature to examine the DQ problems observ",random_sample_395
Dracula's Menagerie Reloaded: Assessing the Relative Roles of Habitat and Interspecific Interactions in an Intact Mammalian Assemblage Using Structural Equation Modeling,2025,"Dyck, MA; Iosif, R; Promberger-Fürpass, B; Popescu, VD",ECOLOGY AND EVOLUTION,10.1002/ece3.71381,WOS:001475900800001,"Interspecific interactions play a central role in structuring animal communities and food webs. In particular, carnivores are important topdown regulators in ecological communities and the loss of carnivore species can have devastating ecosystem effects. Similarly, carnivore reintroductions are successful if the prey base is sufficient to support population growth, making the case for the importance of bottom-up regulation processes. As such, rewilding efforts targeted at restoring food webs and natural community regulation processes (trophic rewilding) have become increasingly popular. Howeve",random_sample_395
A comprehensive framework for automated identification of cultural ecosystem services,2025,"Kovárník, R; Janová, J; Hampel, D",ECOSYSTEM SERVICES,10.1016/j.ecoser.2025.101770,WOS:001566905200001,"Cultural ecosystem services (CES) represent intangible values, making them inherently challenging to analyze. In this study, we present a framework that combines web scraping, text mining, and statistical analysis to gain deeper insights into how people perceive valuable ecosystems and the benefits they derive from them. A total of 4,760 public reviews were collected from the Google Maps platform using dynamic web scraping techniques. Machine learning-based topic modelling was then applied to identify key themes related to CES in selected national parks and protected areas across the Czech Rep",random_sample_395
Offshore cultural ecosystem services: evidence from open-sea research,2025,"Cahillane, A; Forster, J; Kolbuk, D; Brannigan, J",ECOSYSTEM SERVICES,10.1016/j.ecoser.2025.101783,WOS:001599080500001,"Offshore marine environments tend to be characterised as uninhabited resource pools, and therefore, compared to terrestrial and coastal environments, have received little attention as sources of cultural ecosystem benefits. Ecosystem valuations of offshore marine areas have largely been based on the monetary values of provisioning and regulating services, and have not taken full account of intangible and non-monetary values. Effective management of marine areas depends upon a comprehensive assessment of the wide range of ecosystem benefits to society, including such cultural benefits as sense ",random_sample_395
Combination of participatory mapping and Maxent model to visualize the cultural ecosystem services at county scale,2025,"Shi, QQ; Chen, H; Liang, XY; Liu, D; Geng, TW; Zhang, H",ECOSYSTEM SERVICES,10.1016/j.ecoser.2025.101710,WOS:001433796800001,"Cultural ecosystem services (CESs) evaluation is the key to comprehensively understand and evaluate ecosystem services. Spatial mapping of CESs can provide visual information for ecosystem management. The combination of participatory mapping and Maxent model helps to extend place-based spatial assessment of CESs to the regional scale. In this study, representative samples were obtained through participation mapping method, and the Maxent model was used to realize the spatial mapping of six types of CESs in Mizhi County based on environmental variables, and the influence of environmental variab",random_sample_395
A mixed method evaluation of ecosystem services and services-to-ecosystems illuminates culturally important trees in a settled landscape,2025,"Hamilton, J; Humphries, MM; Bennett, EM",ECOSYSTEMS AND PEOPLE,10.1080/26395916.2025.2455441,WOS:001409601800001,"Biodiversity loss can lead to losses in ecological functions, ecosystem services, and cultural values. Yet, literature that empirically relates species' ecological and cultural importance is scarce. We investigate tree species' cultural importance in a settled landscape in Canada by combining biophysical plot sampling (n = 122) and semi-structured interviews (n = 31). We examined relationships between cultural importance, ecosystem services (benefits from trees), services-to-ecosystems (actions toward trees), and the abundance, mortality, and modification of trees. We found that tree abundance",random_sample_395
The role of private landowners for generating cultural ecosystem services in Mediterranean rural landscapes: a case study in Andalusia (Spain),2025,"Rescia, AJ; Sousa, AAR; Sales, RG; Ososrio, MS; Aguilera, PA",ECOSYSTEMS AND PEOPLE,10.1080/26395916.2025.2451289,WOS:001414985700001,"More than 60% of the European population lives in areas considered rural. In many cases, this rural population has been consolidating cultural landscapes regarded as socio-ecological systems preserving traditional agrarian practices and biocultural diversity. These landscapes are threatened by land intensification and rural abandonment, thus decreasing the supply of cultural ecosystem services (CES). In this context, it is important to study the current and potential activities of landowners to generate CES. With this objective, a Spanish rural area was analysed, based on 55 surveys with lando",random_sample_395
Farmers' preferences for adopting organic rice farming in vietnam's Mekong river delta: insights from discrete choice experiments,2025,"Ho, HPC; Nguyen, TK; Trinh, CD",ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,10.1007/s10668-025-06605-6,WOS:001592871100001,"In Vietnam, as in many other Asian countries, the drive toward organic agriculture has intensified in response to mounting environmental pressures and the quest for sustainable production. However, a paradox persists: despite rising interest, the rate of conversion from conventional to organic farming remains modest because most farmers hesitate to adopt the new model. This study therefore examines the determinants of rice farmers' willingness to transition in the Mekong River Delta, one of the largest rice-producing deltas in Asia. Employing a discrete-choice experiment coupled with a conditi",random_sample_395
Place attachment and residential water conservation: Application of an extended Theory of Planned Behaviour in Australia's Northern Territory,2025,"Baah, C; Saleem, MA; Greenland, S; Tenakwah, ES; Chakrabarty, D",ENVIRONMENTAL DEVELOPMENT,10.1016/j.envdev.2025.101203,WOS:001444034100001,"Understanding the drivers of residential water conservation is crucial amid rising climate change, drought, and water shortage concerns. While the literature suggests that environmental psychology can help identify the factors influencing water-saving behaviour, the critical role of place attachment in water conservation decision-making remains underexplored. Previous research has primarily focused on identifying key determinants through statistical significance and correlations, yet there is still limited understanding of the extent to which these determinants are necessary conditions for ach",random_sample_395
Describing teachers' environmental identity as part of education for sustainable development,2025,"Felix, SM; Clayton, S",ENVIRONMENTAL EDUCATION RESEARCH,10.1080/13504622.2025.2482740,WOS:001454305500001,"Education for sustainable development has become a key aspect in educational settings with regard to achieving the Sustainable Development Goals. Teachers have a key role in educating the younger generations to achieve these goals, which are directly related to SDG4 (Quality Education). People who feel a strong sense of connection to nature tend to believe that the environment is important and take pro-environment positions. The purpose of the study was to investigate primary school teachers' engagement with education for sustainable development in Norway through their environmental identity. ",random_sample_395
Does religious difference have an impact on the diffusion of sustainable innovations? A mixed-methods analysis of ecovillages worldwide,2025,"Bruehwiler, N; Koehrsen, J; Malin, J; Roysen, R; Kos, L",ENVIRONMENTAL INNOVATION AND SOCIETAL TRANSITIONS,10.1016/j.eist.2025.101024,WOS:001521623200001,"Religion is seen as potential leverage for sustainability transitions by scholars and other actors. However, so far, little is known about how religion influences the diffusion of sustainable practices. Drawing from a global survey of 130 ecovillages, this mixed-methods study investigates the role of religious difference in the diffusion activities of ecovillages. We integrate survey results with findings from 24 semi-structured interviews. The results show that ecovillages employ selfsecularization strategies. Self-secularization strategies enable ecovillages to collaborate with other actors ",random_sample_395
